id,name
741,Antonio Blakeney
960,Hamidou Diallo
1908,Ky Bowman
131,Dewayne Dedmon
946,Jalen Brunson
358,Jodie Meeks
2525,Cole Norris
142,Spencer Dinwiddie
2235,Kresimir Radovcic
923,DeVaughn Akoon-Purcell
418,Elfrid Payton
115,Pat Connaughton
1882,Jaylen Nowell
2223,Donta Hall
505,Jeff Teague
478,Iman Shumpert
1023,Anfernee Simons
350,KJ McDaniels
123,Seth Curry
2221,Daulton Hommes
1514,Kelan Martin
1021,Collin Sexton
1317,Jevon Carter
1905,Marcus Allen
321,Shaun Livingston
1410,Olivier Hanlan
1043,Johnathan Williams
303,Jeremy Lamb
195,Aaron Gordon
939,Isaac Bonga
1003,Doral Moore
832,Frank Mason
827,Tyler Lydon
792,Nigel Hayes
791,Josh Hart
937,Trevon Bluiett
705,C.J. Williams
837,Malcolm Miller
1026,Richard Solomon
45,Bradley Beal
197,Marcin Gortat
1873,Mfiondu Kabengele
1044,Kenrich Williams
41,Jerryd Bayless
979,Aaron Holiday
785,Chris Goulding
1875,Nassir Little
1852,Ignas Brazdeikis
230,Juancho Hernangomez
2292,Galen Robinson Jr
1014,Michael Porter Jr.
217,Maurice Harkless
893,Tyrone Wallace
2460,Luciano Parodi
1869,Justin James
1731,Stanton Kidd
2480,Gregory Vargas
2233,Pavle Marcinkovic
2095,Shaq Buchanan
308,Zach LaVine
1220,Kendrick Nunn
2206,Rayvonte Rice
2285,Zhelin Wang
2513,Ater Majok
2492,Gustavo Aguirre
947,Deonte Burton
196,Eric Gordon
95,Michael Carter-Williams
402,Jahlil Okafor
1819,Jordan Sibert
2105,Canyon Barry
2153,Nick Ward
728,Kadeem Allen
2470,Daniel Dillon
1423,Kevin Hervey
762,Zach Collins
838,Mingxin Ju
1499,Trey Lewis
2086,Darnell Edge
818,Furkan Korkmaz
804,Frank Jackson
971,Abdul Gaddy
2165,Chris Clemons
724,Bam Adebayo
1062,Trey Lewis
394,Nerlens Noel
814,Luke Kennard
1876,Marcos Louzada Silva
801,Jonathan Isaac
952,Joe Chealey
1312,Vlatko Cancar
514,Klay Thompson
732,OG Anunoby
1863,Jaylen Hands
2111,Charles Brown Jr.
127,Deyonta Davis
1273,Trae Bell Haynes
1900,Coby White
2051,Max Strus
1012,Norvel Pelle
1222,Nuni Omot
2521,Rush Brandon
2338,Reid Travis
1860,Darius Garland
1865,Dewan Hernandez
795,Isaiah Hicks
850,Frank Ntilikina
164,Dante Exum
1071,Kaiser Gates
1219,Landry Nnoko
462,D'Angelo Russell
1604,Desi Rodriguez
247,Rodney Hood
201,Jerian Grant
1315,Khadeen Carrington
170,Kay Felder
745,Chris Boucher
2048,Yannis Morin
1891,Luka Samanic
315,Meyers Leonard
73,Anthony Brown
153,Kevin Durant
1190,Gian Clavell
1854,Nicolas Claxton
1471,Alpha Kaba
704,Josh Magette
1892,Admiral Schofield
302,Skal Labissiere
1790,Daniel Koperberg
2074,Alex Robinson
1059,Harry Froling
243,Justin Holiday
1027,Ray Spalding
575,Ivica Zubac
335,Thon Maker
1906,Rosco Allen
534,Nikola Vucevic
1667,Christian Watford
772,Jawun Evans
2177,John Konchar
2329,Shizz Alston
2237,Roko Rogic
1040,Yuta Watanabe
1997,JaCorey Williams
285,Tyus Jones
1079,Marcus Vinicius Souza
461,Brandon Rush
1820,Tahjere McCall
2060,Kyle Alexander
1528,Jordan McLaughlin
474,Mike Scott
608,Shawn Long
441,Julius Randle
1780,Jimmer Fredette
1872,Keldon Johnson
882,Jayson Tatum
204,Draymond Green
749,Dillon Brooks
415,Chris Paul
1815,Haywood Highsmith
1638,Jaesean Tate
21,Carmelo Anthony
406,Chinanu Onuaku
956,Devin Davis
134,Matthew Dellavedova
2156,Todd Withers
1645,Shevon Thompson
2363,Jack Salt
271,Amir Johnson
2455,Elio Netto
455,Rajon Rondo
264,Reggie Jackson
287,Cory Joseph
82,Reggie Bullock
1107,Rhys Vague
1690,Jay Wright
349,Chris McCullough
2207,Justin Robinson
945,Troy Brown Jr.
2085,Kenny Williams
2357,Jordan Davis
511,Lance Thomas
101,Tyson Chandler
862,Rodney Purvis
109,Jordan Clarkson
968,Keenan Evans
1099,Alex Pledger
221,Joe Harris
564,Delon Wright
544,Russell Westbrook
886,Daniel Theis
339,Jarell Martin
723,David Nwaba
245,Rondae Hollis-Jefferson
219,Devin Harris
2339,Tramaine Isabell
520,P.J. Tucker
2368,Jiwei Zhao
215,Tim Hardaway Jr.
2361,David Kramer
1828,Jemerrio Jones
2503,Justin Wiliams
417,Cameron Payne
175,Dorian Finney-Smith
580,Chasson Randle
733,Jamel Artis
1887,Jordan Poole
1025,Zhaire Smith
1896,Matisse Thybulle
456,Derrick Rose
453,Thomas Robinson
470,Tomas Satoransky
194,Archie Goodwin
434,Norman Powell
996,Brandon McCoy
1019,Jerome Robinson
